"hex_code";"H";"C";"L"
"#E495A5";359,767625383383;50,3176683973075;69,9712945664135
"#D2A277";45,4093946103594;49,8234752404564;70,0894968138086
"#ABB065";89,5361510261461;49,774315638619;69,9292526531298
"#72BB83";135,015919445998;49,6720871677332;70,0041057229612
"#39BEB1";179,79852443174;50,1150277673335;70,0833144135005
"#64B5D6";225,541503011996;50,1211904057455;69,9011647097898
"#ACA4E2";270,276232701592;50,0907362522166;70,0437574948764
"#D995CF";314,984846996891;50,3539761417565;70,0027956818669
"#b0aca9";NA;NA;NA
